distance,rounds,loss_probability,decoder,repetition,microseconds_per_shot,input_loss_patterns,graph_builds,cache_hits,policy
3,3,0.0001,envelope-matching,0,1.4888333999999999,32,32,4968,FIFO/work-budget streaming
3,3,0.0001,envelope-matching,1,1.4875583999999997,32,32,4968,FIFO/work-budget streaming
3,3,0.0001,envelope-matching,2,1.5019916000000002,32,32,4968,FIFO/work-budget streaming
3,3,0.0001,pymatching-fixed,0,1.7605165984768418,32,1,,offline batch groups
3,3,0.0001,pymatching-fixed,1,1.7712252075416237,32,1,,offline batch groups
3,3,0.0001,pymatching-fixed,2,1.7739833915263412,32,1,,offline batch groups
3,3,0.0001,pymatching-envelope,0,2.1222165960537995,32,32,,offline batch groups
3,3,0.0001,pymatching-envelope,1,2.21372499731392,32,32,,offline batch groups
3,3,0.0001,pymatching-envelope,2,2.026991602365187,32,32,,offline batch groups
3,3,0.0001,envelope-matching-offline,0,1.4185582,32,32,,offline batch groups
3,3,0.0001,envelope-matching-offline,1,1.4133166,32,32,,offline batch groups
3,3,0.0001,envelope-matching-offline,2,1.41925,32,32,,offline batch groups
3,3,0.0003,envelope-matching,0,1.5506832000000002,40,40,4960,FIFO/work-budget streaming
3,3,0.0003,envelope-matching,1,1.5600834000000001,40,40,4960,FIFO/work-budget streaming
3,3,0.0003,envelope-matching,2,1.5839165999999998,40,40,4960,FIFO/work-budget streaming
3,3,0.0003,pymatching-fixed,0,1.7823919999487372,40,1,,offline batch groups
3,3,0.0003,pymatching-fixed,1,1.7570998018757973,40,1,,offline batch groups
3,3,0.0003,pymatching-fixed,2,1.7723999907060326,40,1,,offline batch groups
3,3,0.0003,pymatching-envelope,0,2.1124084018285187,40,40,,offline batch groups
3,3,0.0003,pymatching-envelope,1,2.1391999921600133,40,40,,offline batch groups
3,3,0.0003,pymatching-envelope,2,2.1345163961975633,40,40,,offline batch groups
3,3,0.0003,envelope-matching-offline,0,1.4729582,40,40,,offline batch groups
3,3,0.0003,envelope-matching-offline,1,1.4636747999999997,40,40,,offline batch groups
3,3,0.0003,envelope-matching-offline,2,1.4572916,40,40,,offline batch groups
3,3,0.001,envelope-matching,0,1.8855916,84,84,4916,FIFO/work-budget streaming
3,3,0.001,envelope-matching,1,1.8711749999999998,84,84,4916,FIFO/work-budget streaming
3,3,0.001,envelope-matching,2,1.9130833999999999,84,84,4916,FIFO/work-budget streaming
3,3,0.001,pymatching-fixed,0,1.8157331988589438,84,1,,offline batch groups
3,3,0.001,pymatching-fixed,1,1.813191600388321,84,1,,offline batch groups
3,3,0.001,pymatching-fixed,2,1.8575499942111582,84,1,,offline batch groups
3,3,0.001,pymatching-envelope,0,2.561791598893475,84,84,,offline batch groups
3,3,0.001,pymatching-envelope,1,2.6260831996636065,84,84,,offline batch groups
3,3,0.001,pymatching-envelope,2,2.6412079978790466,84,84,,offline batch groups
3,3,0.001,envelope-matching-offline,0,1.682125,84,84,,offline batch groups
3,3,0.001,envelope-matching-offline,1,1.716025,84,84,,offline batch groups
3,3,0.001,envelope-matching-offline,2,1.7168584,84,84,,offline batch groups
3,3,0.003,envelope-matching,0,3.6131416,349,349,4651,FIFO/work-budget streaming
3,3,0.003,envelope-matching,1,3.5540168,349,349,4651,FIFO/work-budget streaming
3,3,0.003,envelope-matching,2,3.6033834000000002,349,349,4651,FIFO/work-budget streaming
3,3,0.003,pymatching-fixed,0,1.9489167961993454,349,1,,offline batch groups
3,3,0.003,pymatching-fixed,1,1.9895664029189917,349,1,,offline batch groups
3,3,0.003,pymatching-fixed,2,1.9800083953045309,349,1,,offline batch groups
3,3,0.003,pymatching-envelope,0,5.108158608624825,349,349,,offline batch groups
3,3,0.003,pymatching-envelope,1,5.067824996866512,349,349,,offline batch groups
3,3,0.003,pymatching-envelope,2,5.164458198112135,349,349,,offline batch groups
3,3,0.003,envelope-matching-offline,0,2.6721084,349,349,,offline batch groups
3,3,0.003,envelope-matching-offline,1,2.7013248,349,349,,offline batch groups
3,3,0.003,envelope-matching-offline,2,2.7082583999999996,349,349,,offline batch groups
3,3,0.01,envelope-matching,0,11.669608199999999,1493,1627,3373,FIFO/work-budget streaming
3,3,0.01,envelope-matching,1,11.523358400000001,1493,1627,3373,FIFO/work-budget streaming
3,3,0.01,envelope-matching,2,11.460766600000001,1493,1627,3373,FIFO/work-budget streaming
3,3,0.01,pymatching-fixed,0,2.358241403451708,1493,1,,offline batch groups
3,3,0.01,pymatching-fixed,1,2.324116602066791,1493,1,,offline batch groups
3,3,0.01,pymatching-fixed,2,2.3282333991524964,1493,1,,offline batch groups
3,3,0.01,pymatching-envelope,0,16.011166398692648,1493,1493,,offline batch groups
3,3,0.01,pymatching-envelope,1,15.880733402531368,1493,1493,,offline batch groups
3,3,0.01,pymatching-envelope,2,15.822266596941908,1493,1493,,offline batch groups
3,3,0.01,envelope-matching-offline,0,6.702374999999999,1493,1493,,offline batch groups
3,3,0.01,envelope-matching-offline,1,6.953891799999999,1493,1493,,offline batch groups
3,3,0.01,envelope-matching-offline,2,6.7278084,1493,1493,,offline batch groups
5,5,0.0001,envelope-matching,0,9.9633666,142,142,4858,FIFO/work-budget streaming
5,5,0.0001,envelope-matching,1,9.8944,142,142,4858,FIFO/work-budget streaming
5,5,0.0001,envelope-matching,2,9.78055,142,142,4858,FIFO/work-budget streaming
5,5,0.0001,pymatching-fixed,0,7.14819160387367,142,1,,offline batch groups
5,5,0.0001,pymatching-fixed,1,7.138316800680757,142,1,,offline batch groups
5,5,0.0001,pymatching-fixed,2,7.5058748031940645,142,1,,offline batch groups
5,5,0.0001,pymatching-envelope,0,11.410924796799943,142,142,,offline batch groups
5,5,0.0001,pymatching-envelope,1,11.446758195070549,142,142,,offline batch groups
5,5,0.0001,pymatching-envelope,2,11.499083403933422,142,142,,offline batch groups
5,5,0.0001,envelope-matching-offline,0,8.2715166,142,142,,offline batch groups
5,5,0.0001,envelope-matching-offline,1,8.259357999999999,142,142,,offline batch groups
5,5,0.0001,envelope-matching-offline,2,8.2234082,142,142,,offline batch groups
5,5,0.0003,envelope-matching,0,14.728791799999998,279,279,4721,FIFO/work-budget streaming
5,5,0.0003,envelope-matching,1,14.374758399999997,279,279,4721,FIFO/work-budget streaming
5,5,0.0003,envelope-matching,2,14.078299999999999,279,279,4721,FIFO/work-budget streaming
5,5,0.0003,pymatching-fixed,0,7.201116601166242,279,1,,offline batch groups
5,5,0.0003,pymatching-fixed,1,7.214475200525266,279,1,,offline batch groups
5,5,0.0003,pymatching-fixed,2,7.18947499639664,279,1,,offline batch groups
5,5,0.0003,pymatching-envelope,0,15.531383401921133,279,279,,offline batch groups
5,5,0.0003,pymatching-envelope,1,15.701149600528584,279,279,,offline batch groups
5,5,0.0003,pymatching-envelope,2,15.581825202317875,279,279,,offline batch groups
5,5,0.0003,envelope-matching-offline,0,10.8355084,279,279,,offline batch groups
5,5,0.0003,envelope-matching-offline,1,10.8492084,279,279,,offline batch groups
5,5,0.0003,envelope-matching-offline,2,10.819149999999999,279,279,,offline batch groups
5,5,0.001,envelope-matching,0,40.067541600000006,1082,1108,3892,FIFO/work-budget streaming
5,5,0.001,envelope-matching,1,40.3870332,1082,1108,3892,FIFO/work-budget streaming
5,5,0.001,envelope-matching,2,40.504200000000004,1082,1108,3892,FIFO/work-budget streaming
5,5,0.001,pymatching-fixed,0,7.5082166036292906,1082,1,,offline batch groups
5,5,0.001,pymatching-fixed,1,7.444708206732571,1082,1,,offline batch groups
5,5,0.001,pymatching-fixed,2,7.503041603541001,1082,1,,offline batch groups
5,5,0.001,pymatching-envelope,0,40.13875019591659,1082,1082,,offline batch groups
5,5,0.001,pymatching-envelope,1,40.21142480656023,1082,1082,,offline batch groups
5,5,0.001,pymatching-envelope,2,40.13047480016391,1082,1082,,offline batch groups
5,5,0.001,envelope-matching-offline,0,26.791191600000005,1082,1082,,offline batch groups
5,5,0.001,envelope-matching-offline,1,25.840166799999995,1082,1082,,offline batch groups
5,5,0.001,envelope-matching-offline,2,26.415466600000006,1082,1082,,offline batch groups
5,5,0.003,envelope-matching,0,122.90295820000001,3550,3845,1155,FIFO/work-budget streaming
5,5,0.003,envelope-matching,1,123.45561679999999,3550,3845,1155,FIFO/work-budget streaming
5,5,0.003,envelope-matching,2,125.08895000000003,3550,3845,1155,FIFO/work-budget streaming
5,5,0.003,pymatching-fixed,0,8.238166796727478,3550,1,,offline batch groups
5,5,0.003,pymatching-fixed,1,8.250300201149026,3550,1,,offline batch groups
5,5,0.003,pymatching-fixed,2,8.520141595717034,3550,1,,offline batch groups
5,5,0.003,pymatching-envelope,0,120.18774159724538,3550,3550,,offline batch groups
5,5,0.003,pymatching-envelope,1,117.48645020570642,3550,3550,,offline batch groups
5,5,0.003,pymatching-envelope,2,120.08212479752652,3550,3550,,offline batch groups
5,5,0.003,envelope-matching-offline,0,71.9798918,3550,3550,,offline batch groups
5,5,0.003,envelope-matching-offline,1,72.14093340000001,3550,3550,,offline batch groups
5,5,0.003,envelope-matching-offline,2,72.2313082,3550,3550,,offline batch groups
5,5,0.01,envelope-matching,0,226.49585839999997,5000,5000,0,FIFO/work-budget streaming
5,5,0.01,envelope-matching,1,198.1316084,5000,5000,0,FIFO/work-budget streaming
5,5,0.01,envelope-matching,2,184.338525,5000,5000,0,FIFO/work-budget streaming
5,5,0.01,pymatching-fixed,0,12.60837479132205,5000,1,,offline batch groups
5,5,0.01,pymatching-fixed,1,16.49541660421703,5000,1,,offline batch groups
5,5,0.01,pymatching-fixed,2,12.013149998665861,5000,1,,offline batch groups
5,5,0.01,pymatching-envelope,0,192.30733339861555,5000,5000,,offline batch groups
5,5,0.01,pymatching-envelope,1,308.88813320106885,5000,5000,,offline batch groups
5,5,0.01,pymatching-envelope,2,214.84567479538725,5000,5000,,offline batch groups
5,5,0.01,envelope-matching-offline,0,163.285875,5000,5000,,offline batch groups
5,5,0.01,envelope-matching-offline,1,168.50939159999996,5000,5000,,offline batch groups
5,5,0.01,envelope-matching-offline,2,112.35393339999999,5000,5000,,offline batch groups
7,7,0.0001,envelope-matching,0,64.97570019999999,455,541,4459,FIFO/work-budget streaming
7,7,0.0001,envelope-matching,1,64.60225820000001,455,541,4459,FIFO/work-budget streaming
7,7,0.0001,envelope-matching,2,64.93164999999999,455,541,4459,FIFO/work-budget streaming
7,7,0.0001,pymatching-fixed,0,20.30631659943659,455,1,,offline batch groups
7,7,0.0001,pymatching-fixed,1,20.802399999732295,455,1,,offline batch groups
